;legend;color;marker;linestyle
Primary Energy|Geothermal;Geothermal;#e51900;;
Primary Energy|Hydro;Hydro;#191999;;
Primary Energy|Nuclear;Nuclear;#ff33ff;;
Primary Energy|Oil;Oil;#663a00;;
Primary Energy|Oil|w/ CCS;Oil w/ CCS;#cc7500;;
Primary Energy|Oil|w/o CCS;Oil w/o CCS;#663a00;;
Primary Energy|Other;Other;#7f7f7f;;
Primary Energy|Solar;Solar;#ffcc00;;
Primary Energy|Solar|Electricity;Solar;#ffcc00;;
Primary Energy|Wind;Wind;#337fff;;
PE;Total;#000000;;
PE|Biomass|w/ CCS;BECCS;#33ff00;;
PE|Biomass|w/o CCS;Biomass;#005900;;
PE|Coal|Electricity;Coal;#0c0c0c;;
PE|Coal|w/ CCS;Coal w/ CCS;#b2b2b2;;
PE|Coal|w/o CCS;Coal w/o CCS;#0c0c0c;;
PE|Gas|Electricity;Gas;#999959;;
PE|Gas|w/ CCS;Gas w/ CCS;#e5e5b2;;
PE|Gas|w/o CCS;Gas w/o CCS;#999959;;
PE|Geothermal;Geothermal;#e51900;;
PE|Hydro;Hydro;#191999;;
PE|Nuclear;Nuclear;#ff33ff;;
PE|Oil;Oil;#663a00;;
PE|Oil|w/ CCS;Oil w/ CCS;#cc7500;;
PE|Oil|w/o CCS;Oil w/o CCS;#663a00;;
PE|Other;Other;#7f7f7f;;
PE|Solar;Solar;#ffcc00;;
PE|Solar|Electricity;Solar;#ffcc00;;
PE|Wind;Wind;#337fff;;
Secondary Energy|Electricity;Total;#000000;;
SE|Electricity;Total;#000000;;
Secondary Energy|Electricity|Biomass|w/ CCS;BECCS;#33ff00;;
SE|Electricity|Biomass|w/ CCS;BECCS;#33ff00;;
Secondary Energy|Electricity|Biomass|w/o CCS;Biomass;#005900;;
SE|Electricity|Biomass|w/o CCS;Biomass;#005900;;
Secondary Energy|Electricity|Coal|w/ CCS;Coal w/ CCS;#b2b2b2;;
SE|Electricity|Coal|w/ CCS;Coal w/ CCS;#b2b2b2;;
Secondary Energy|Electricity|Gas|w/ CCS;Gas w/ CCS;#e5e5b2;;
SE|Electricity|Gas|w/ CCS;Gas w/ CCS;#e5e5b2;;
Secondary Energy|Electricity|Gas|w/o CCS;Gas w/o CCS;#999959;;
SE|Electricity|Gas|w/o CCS;Gas w/o CCS;#999959;;
Secondary Energy|Electricity|Geothermal;Geothermal;#e51900;;
SE|Electricity|Geothermal;Geothermal;#e51900;;
Secondary Energy|Electricity|Hydro;Hydro;#191999;;
SE|Electricity|Hydro;Hydro;#191999;;
Secondary Energy|Electricity|Hydrogen;Hydrogen;#88FFFF;;
SE|Electricity|Hydrogen;Hydrogen;#88FFFF;;
Secondary Energy|Electricity|Nuclear;Nuclear;#ff33ff;;
SE|Electricity|Nuclear;Nuclear;#ff33ff;;
Secondary Energy|Electricity|Ocean;Ocean;#000066;;
SE|Electricity|Ocean;Ocean;#000066;;
Secondary Energy|Electricity|Oil;Oil;#663a00;;
SE|Electricity|Oil;Oil;#663a00;;
Secondary Energy|Electricity|Oil|w/ CCS;Oil w/ CCS;#cc7500;;
SE|Electricity|Oil|w/ CCS;Oil w/ CCS;#cc7500;;
Secondary Energy|Electricity|Oil|w/o CCS;Oil w/o CCS;#663a00;;
SE|Electricity|Oil|w/o CCS;Oil w/o CCS;#663a00;;
Secondary Energy|Electricity|Other;Other;#7f7f7f;;
SE|Electricity|Other;Other;#7f7f7f;;
Secondary Energy|Electricity|Solar;Solar;#ffcc00;;
SE|Electricity|Solar;Solar;#ffcc00;;
Secondary Energy|Electricity|Wind;Wind;#337fff;;
SE|Electricity|Wind;Wind;#337fff;;
Secondary Energy|Electricity|Wind|Onshore;Wind Onshore;#337fff;;
SE|Electricity|Wind|Onshore;Wind Onshore;#337fff;;
Secondary Energy|Electricity|Wind|Offshore;Wind Offshore;#334cff;;
SE|Electricity|Wind|Offshore;Wind Offshore;#334cff;;
Secondary Energy|Gases|Biomass;Gases|Biomass;#99ff99;;
SE|Gases|Biomass;Gases|Biomass;#99ff99;;
Secondary Energy|Gases|Coal;Gases|Coal;#664c4c;;
SE|Gases|Coal;Gases|Coal;#664c4c;;
Secondary Energy|Gases|Natural Gas;Gases|Natural Gas;#cc0000;;
SE|Gases|Natural Gas;Gases|Natural Gas;#cc0000;;
