FE|Buildings|ESD|+|Gases (EJ/yr)
FE|Buildings|ESD|Gases|+|Biomass (EJ/yr)
FE|Buildings|ESD|Gases|+|Fossil (EJ/yr)
FE|Buildings|ETS|+|Gases (EJ/yr)
FE|Buildings|ETS|Gases|+|Biomass (EJ/yr)
FE|Buildings|ETS|Gases|+|Fossil (EJ/yr)
FE|Buildings|+|Electricity (EJ/yr)
FE|Buildings|ESD|+|Electricity (EJ/yr)
FE|Buildings|ETS|+|Electricity (EJ/yr)
FE|Buildings|+|Heat (EJ/yr)
FE|Buildings|ESD|+|Heat (EJ/yr)
FE|Buildings|ETS|+|Heat (EJ/yr)
FE|Buildings|+|Hydrogen (EJ/yr)
FE|Buildings|ESD|+|Hydrogen (EJ/yr)
FE|Buildings|ETS|+|Hydrogen (EJ/yr)
FE|++|CDR (EJ/yr)
FE|CDR|++|ETS (EJ/yr)
FE|CDR|+|Liquids (EJ/yr)
FE|CDR|Liquids|+|Biomass (EJ/yr)
FE|CDR|Liquids|+|Fossil (EJ/yr)
FE|CDR|ETS|+|Liquids (EJ/yr)
FE|CDR|ETS|Liquids|+|Biomass (EJ/yr)
FE|CDR|ETS|Liquids|+|Fossil (EJ/yr)
FE|CDR|+|Gases (EJ/yr)
FE|CDR|Gases|+|Biomass (EJ/yr)
FE|CDR|Gases|+|Fossil (EJ/yr)
FE|CDR|ETS|+|Gases (EJ/yr)
FE|CDR|ETS|Gases|+|Biomass (EJ/yr)
FE|CDR|ETS|Gases|+|Fossil (EJ/yr)
FE|CDR|+|Electricity (EJ/yr)
FE|CDR|ETS|+|Electricity (EJ/yr)
FE|CDR|+|Hydrogen (EJ/yr)
FE|CDR|ETS|+|Hydrogen (EJ/yr)
FE|Transport|w/o Bunkers|+|Liquids (EJ/yr)
FE|Transport|w/o Bunkers|Liquids|+|Biomass (EJ/yr)
FE|Transport|w/o Bunkers|Liquids|+|Fossil (EJ/yr)
FE|Transport|w/o Bunkers|+|Gases (EJ/yr)
FE|Transport|w/o Bunkers|Gases|+|Biomass (EJ/yr)
FE|Transport|w/o Bunkers|Gases|+|Fossil (EJ/yr)
FE|Transport|w/o Bunkers|+|Electricity (EJ/yr)
FE|Transport|w/o Bunkers|+|Hydrogen (EJ/yr)
FE|Transport|Bunkers|+|Liquids (EJ/yr)
FE|Transport|Bunkers|Liquids|+|Biomass (EJ/yr)
FE|Transport|Bunkers|Liquids|+|Fossil (EJ/yr)
FE|Transport|Bunkers|+|Gases (EJ/yr)
FE|Transport|Bunkers|Gases|+|Biomass (EJ/yr)
FE|Transport|Bunkers|Gases|+|Fossil (EJ/yr)
FE|Transport|Bunkers|+|Electricity (EJ/yr)
FE|Transport|Bunkers|+|Hydrogen (EJ/yr)
FE|Transport|w/o Bunkers (EJ/yr)
FE|Transport|Bunkers (EJ/yr)
FE|w/o Bunkers (EJ/yr)
FE|Transport|Pass|+|Liquids (EJ/yr)
FE|Transport|Pass|Liquids|+|Biomass (EJ/yr)
FE|Transport|Pass|Liquids|+|Fossil (EJ/yr)
FE|Transport|Pass|ESD|+|Liquids (EJ/yr)
FE|Transport|Pass|ESD|Liquids|+|Biomass (EJ/yr)
FE|Transport|Pass|ESD|Liquids|+|Fossil (EJ/yr)
FE|Transport|Pass|other|+|Liquids (EJ/yr)
FE|Transport|Pass|other|Liquids|+|Biomass (EJ/yr)
FE|Transport|Pass|other|Liquids|+|Fossil (EJ/yr)
FE|Transport|Pass|Liquids|Road (EJ/yr)
FE|Transport|Freight|+|Liquids (EJ/yr)
FE|Transport|Freight|Liquids|+|Biomass (EJ/yr)
FE|Transport|Freight|Liquids|+|Fossil (EJ/yr)
FE|Transport|Freight|ESD|+|Liquids (EJ/yr)
FE|Transport|Freight|ESD|Liquids|+|Biomass (EJ/yr)
FE|Transport|Freight|ESD|Liquids|+|Fossil (EJ/yr)
FE|Transport|Freight|other|+|Liquids (EJ/yr)
FE|Transport|Freight|other|Liquids|+|Biomass (EJ/yr)
FE|Transport|Freight|other|Liquids|+|Fossil (EJ/yr)
FE|Transport|Pass|+|Gases (EJ/yr)
FE|Transport|Pass|Gases|+|Biomass (EJ/yr)
FE|Transport|Pass|Gases|+|Fossil (EJ/yr)
FE|Transport|Pass|ESD|+|Gases (EJ/yr)
FE|Transport|Pass|ESD|Gases|+|Biomass (EJ/yr)
FE|Transport|Pass|ESD|Gases|+|Fossil (EJ/yr)
FE|Transport|Pass|+|Electricity (EJ/yr)
FE|Transport|Pass|ESD|+|Electricity (EJ/yr)
FE|Transport|Pass|Electricity|+|Train (EJ/yr)
FE|Transport|Pass|Electricity|+|Road (EJ/yr)
FE|Transport|Pass|+|Hydrogen (EJ/yr)
